video_id	caption	start	end	duration	phase	idx
v_QOlSCBRmfWY	A young woman is seen standing in a room and leads into her dancing	0.83	19.86	82.73	train	0
v_QOlSCBRmfWY	The girl dances around the room while the camera captures her movements	17.37	60.81	82.73	train	1
v_QOlSCBRmfWY	She continues dancing around the room and ends by laying on the floor	56.26	79.42	82.73	train	2
v_ehGHCYKzyZ8	The video starts with a title logo sequence	0.0	2.78	61.72	train	3
v_ehGHCYKzyZ8	A man and woman are in a living room demonstrating exercises	3.09	61.72	61.72	train	4
v_ehGHCYKzyZ8	The woman lays on the ground	15.43	55.24	61.72	train	5
v_ehGHCYKzyZ8	The man starts pointing to different areas of the woman's body as she does an exercise	17.59	54.0	61.72	train	6
v_ehGHCYKzyZ8	The woman begins to do small sit ups	39.81	54.62	61.72	train	7
v_ehGHCYKzyZ8	The woman ends with a final title logo sequence	56.47	61.72	61.72	train	8
v_nwznKOuZM7w	Two people are seen moving around a kitchen quickly performing various tasks and sitting down	0.0	15.51	31.65	train	9
v_nwznKOuZM7w	They then wax down a ski in the kitchen while continuing to move around	11.39	31.65	31.65	train	10
v_ogQozSI5V8U	We see a hallway with a wooden floor	0.0	7.49	36.55	train	11
v_ogQozSI5V8U	A dog in socks walks slowly out onto the floor as a lady films him	7.49	18.09	36.55	train	12
v_ogQozSI5V8U	The dog turns around and goes back to the other room	19.37	36.55	36.55	train	13
v_nHE7u40plD0	A woman and a man are sitting on the sidewalk playing music	0.0	145.56	145.56	train	14
v_nHE7u40plD0	People stand next to them and watch them play	67.68	72.78	145.56	train	15
v_nHE7u40plD0	A little boy holding a yellow ball walks by	82.97	87.33	145.56	train	16
v_nHE7u40plD0	A man poses for a picture in front of them	98.98	103.34	145.56	train	17
v_69IsHpmRyfk	A young girl is seen sitting in a chair with a person standing next to her	1.89	31.26	94.72	train	18
v_69IsHpmRyfk	The person next to her then piercing one ear followed by the other	29.36	71.51	94.72	train	19
v_69IsHpmRyfk	The person rubs lotion on the piercings afterwards	55.41	91.4	94.72	train	20
v_D18b2IZpxk0	A woman is shown riding a camel past pyramids in Egypt	0.0	17.7	95.67	train	21
v_D18b2IZpxk0	The camel walks as the woman leans forward	19.61	88.01	95.67	train	22
v_D18b2IZpxk0	And hand covers the lens as the harness is shown	90.88	95.67	95.67	train	23
v_pizl41xmw7k	A child mops the floor of a hallway in a house	0.0	85.18	172.07999999999998	train	24
v_pizl41xmw7k	The child sets the mop down and plays with her family member	27.53	43.02	172.07999999999998	train	25
v_pizl41xmw7k	The child walks into the bedroom area and continues to mop the floor	86.04	168.64	172.07999999999998	train	26
v_oP77DgsbhKQ	A man is seen kneeling down on the floor speaking to the camera	0.0	40.77	214.6	train	27
v_oP77DgsbhKQ	The man mixes up various ingredients and begins laying plaster on the floor	41.85	119.1	214.6	train	28
v_oP77DgsbhKQ	He measures the floor and tiles and cuts out a piece of tile to lay on the floor	96.57	170.61	214.6	train	29
v_oP77DgsbhKQ	He continues laying tiles on the floor while looking back to speak to the camera	168.46	214.6	214.6	train	30
v_fzp5ooc727c	Two lines of young men are walking side by side down a road	0.0	14.83	148.32	train	31
v_fzp5ooc727c	Then one man stands in a field holding a wooden object and begins twisting it	15.57	32.63	148.32	train	32
v_fzp5ooc727c	He then bends down and grabs a ball	32.63	44.5	148.32	train	33
v_fzp5ooc727c	After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball	44.5	65.26	148.32	train	34
v_fzp5ooc727c	The ball is thrown back and he its it again	66.74	72.68	148.32	train	35
v_fzp5ooc727c	Shortly after, a field of men are shown and they begin playing a game against one another	74.16	107.53	148.32	train	36
v_fzp5ooc727c	There was a penalty and one players attempts to hit the ball into the goal from the side	106.05	130.52	148.32	train	37
v_fzp5ooc727c	After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down	129.78	137.94	148.32	train	38
